SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500253,LIC HOUS.FIN,A ,Q,476.5,490,464.7,485.45,485.45,485.1,2494,131315,63206063,
500254,UTTAMVALUE  ,B ,Q,0.19,0.19,0.19,0.19,0.19,0.19,38,104329,19822,
500257,LUPIN LTD.  ,A ,Q,855,870.1,853.8,867.5,856.4,870,1307,64586,55590099,
500259,LYKA LABS   ,T ,Q,26.25,26.85,25.65,26.15,26.05,26.95,26,5916,152969,
500260,RAMCOCEM    ,A ,Q,780.45,780.75,769,771.85,769.7,780.45,421,10926,8440308,
500264,MAFATLAL IND,X ,Q,104.15,107.5,100.05,106.95,107,104.15,14,73,7564,
500265,MAH.SEAMLESS,B ,Q,470,471.65,468,469.25,468,470.5,96,1520,713776,
500266,MAH.SCOOTER ,B ,Q,3809.8,3895.1,3809.8,3833.8,3833.8,3811.55,152,560,2155329,
500267,MAJESTIC AUT,X ,Q,196.25,196.25,184,186.25,186.25,195.15,206,14026,2657602,
500268,MANALI PETRO,B ,Q,25.5,25.6,24.85,25,25.25,25.45,85,19788,496263,
500271,MFSL        ,A ,Q,417.3,428.4,417.3,424.7,423.15,422.25,382,14166,6003973,
500279,MIRC ELECT  ,B ,Q,19.55,21.25,19.5,19.65,19.65,20.7,508,95386,1934654,
500280,CENTURY ENKA,B ,Q,231.1,232,228,230.2,230.1,233.15,54,1984,456030,
500284,LORDS CHLORO,XT,Q,58.15,58.15,58.15,58.15,58.15,58.15,7,375,21806,
500285,SPICEJET LTD,A ,Q,127.7,135.5,127.1,131.95,131.95,130.1,17331,3280272,434066733,
500288,MOREPEN LAB.,B ,Q,17.95,20.15,17.65,20.15,20.15,16.8,2065,1086352,21376363,
500290,MRF LTD.    ,A ,Q,53377,53987.65,52700,53765.55,53765.55,53308.05,409,767,41149597,
500292,HEIDEL CEM  ,A ,Q,180.35,180.35,173.5,174.45,174.1,180.35,204,7933,1396181,
500294,NCC         ,A ,Q,96,97.35,93.1,93.75,93.75,96.5,1808,384893,36593718,
500295,VEDL        ,A ,Q,164.85,168.3,163.25,166.85,166.85,167.75,3141,398204,66152474,
500296,NAHAR SPG.  ,B ,Q,85,85.8,84.75,84.75,84.75,85.8,19,1044,88747,
500298,NAT.PEROXIDE,B ,Q,2655,2698,2622.25,2634,2634,2659.55,530,3746,9928409,
500300,GRASIM IND. ,A ,Q,898,898,886.8,896.8,898,899,570,40790,36509356,
500302,PEL         ,A ,Q,2292,2303.5,2250.75,2269.6,2265,2319.3,1769,39602,90062937,
500304,NIIT LTD.   ,B ,Q,105.35,105.35,103.2,103.9,103.5,105.35,493,33198,3455003,
500306,JAYKAY      ,X ,Q,4.52,5.15,4.52,5.1,5.1,4.81,12,3607,18348,
500307,NIRLON      ,B ,Q,200.05,201,200,200,200,200.25,18,2568,513806,
500312,ONGC CORPN  ,A ,Q,169.05,171.6,168.05,170.2,170.2,170.1,1647,213248,36227074,
500313,OIL COUNTRY ,B ,Q,12.19,12.48,11.91,11.95,11.95,12.63,139,14198,171503,
500314,ORIENT HOTEL,B ,Q,43.35,45.2,43.05,45,45,45.4,22,4773,214061,
500315,ORINTAL BANK,A ,Q,96.55,97.2,94.5,95.25,94.65,97.1,482,126032,12106552,
500317,OSWAL AGRO. ,B ,Q,6.51,7.24,6.5,6.88,7.24,7.2,15,3354,22433,
500319,INDIAN SUCRO,X ,Q,16.15,16.15,16.15,16.15,16.15,16.95,1,250,4037,
500325,RELIANCE    ,A ,Q,1399,1402,1378.55,1384.85,1384.85,1407.05,10606,741073,1033723388,
500327,PILITA      ,B ,Q,7.73,7.95,7.7,7.84,7.85,7.73,64,113371,886349,
500329,PENTAMED.G  ,XT,Q,0.4,0.4,0.4,0.4,0.4,0.39,19,13180,5272,
500330,RAYMOND     ,A ,Q,755.2,828.6,755.2,807.45,807.45,759.3,4444,208514,165748445,
500331,PIDILITE    ,A ,Q,1193,1198.95,1178.4,1187.7,1182.65,1204.85,856,67048,79613383,
500333,PIX TRANS   ,X ,Q,172,185.05,172,174.9,175,176.15,231,40674,7189872,
500335,BIRLA CORPN.,A ,Q,500,531.25,500,526.9,526.9,501.5,1376,18911,9864923,
500336,SURYA ROSHNI,B ,Q,230,239.35,230,235.65,236.7,236.2,69,3130,734648,
500337,PRIME SECUR.,B ,Q,41.6,42.3,40.75,41.5,41.5,42.75,52,3679,153323,
500338,PRSMJOHNSN  ,A ,Q,91.1,93.05,91,91.8,92,92.65,158,7058,648275,
500339,RAIN        ,A ,Q,112,114.5,110,111.35,111.35,115.55,2000,154590,17317629,
500346,PUN.COMMUNI.,B ,Q,16.05,16.15,16.05,16.15,16.15,17.1,2,200,3220,
500350,RSWM  LTD   ,B ,Q,160,165.5,160,161.9,162,162.95,17,329,53509,
500354,RAJSH.SUGAR ,B ,Q,24,24,21,22.8,23.6,22.4,10,124,2851,
500355,RALLIS INDIA,A ,Q,145.95,146.8,145,145.3,145.3,146.55,248,12406,1811079,
500356,RAMANEWS    ,B ,Q,21.25,21.25,20.6,20.6,20.6,20.8,16,2955,60936,
500357,RAMA PAPER  ,X ,Q,17.15,18,17.1,17.85,17.85,17.25,14,5938,103712,
500360,RAPICUT CARB,X ,Q,46.5,48.2,46.25,46.3,46.3,46.25,17,1807,84001,
500365,RMGALLOY    ,X ,Q,15.5,15.5,14.4,14.55,14.55,15.6,162,95194,1404699,
500366,ROLTA (I)   ,T ,Q,6.3,6.39,6.07,6.24,6.27,6.09,108,56122,350784,
500367,RUBFILA INT.,X ,Q,43.1,43.5,41.05,42.8,43,43.6,92,14431,618991,
500368,RUCHI SOYA  ,B ,Q,9.14,9.14,8.49,8.49,8.49,8.93,2041,2376014,20399718,
500378,JINDAL SAW  ,A ,Q,80,80.75,79.75,79.95,79.8,81.15,536,67755,5439763,
500380,JK LAKSHMI  ,A ,Q,366.1,366.1,350.05,353.8,352.2,366,367,6170,2210807,
500387,SHREE CEMENT,A ,Q,19799.95,19844.65,19666.4,19748,19750.05,19878.85,88,170,3357948,
